"island","site","distance","type","species_name","number_indiv","date","time start","duration","min","sec","weather","wind intensity"
"saipan","latd_n",300,"native",NA,0,2013-06-28,"NA",7.38333333333333,7,0.383333333333333,"Sunny","1"
"saipan","marpi",300,"native","blanda",1,2013-06-30,"0.47569444444444442",15.4,15,0.4,"Sunny","0"
"saipan","forbi",300,"native","eunice",3,2013-06-29,"NA",10.0333333333333,10,0.0333333333333333,"Sunny","0"
"saipan","forbi",300,"native","polytes",1,2013-06-29,"NA",10.0333333333333,10,0.0333333333333333,"Sunny","0"
"saipan","ladt_d",300,"disturbed","eunice",58,2013-06-28,"0.46111111111111108",7.41666666666667,7,0.416666666666667,"Sunny","1"
"saipan","ladt_d",300,"disturbed","blanda",2,2013-06-28,"0.46111111111111108",7.41666666666667,7,0.416666666666667,"Sunny","1"
"saipan","ladt_d",300,"disturbed","bolina",2,2013-06-28,"0.46111111111111108",7.41666666666667,7,0.416666666666667,"Sunny","1"
"saipan","ladt_d",300,"disturbed","unidentified",1,2013-06-28,"0.46111111111111108",7.41666666666667,7,0.416666666666667,"Sunny","1"
"saipan","naftan",300,"disturbed","bolina",4,2013-06-29,"0.45208333333333334",5.75,5,0.75,"Sunny","1"
"saipan","birdisland",300,"disturbed","polytes",2,2013-06-30,"0.59236111111111112",7.35,7,0.35,"Sunny","1"
"saipan","grotto bike trail",300,"disturbed",NA,0,2013-06-30,"0.60416666666666663",7.01666666666667,7,0.0166666666666667,"Sunny","1-2"
"rota","grvp",300,"native",NA,0,2013-07-10,"0.52500000000000002",8.41666666666667,8,0.416666666666667,"Sunny","1"
"rota","bird sanctuary",300,"native",NA,0,2013-07-10,"0.58680555555555558",8.28333333333333,8,0.283333333333333,"Sunny","1"
"rota","palii",300,"native","polytes",2,2013-07-14,"0.52083333333333337",7.71666666666667,7,0.716666666666667,"Sunny","1"
"rota","isang",250,"native",NA,0,2013-07-17,"0.57986111111111105",7.03333333333333,7,0.0333333333333333,"Sunny","NA"
"rota","tweksberry park",219,"disturbed",NA,0,2013-07-17,"0.42222222222222222",4.83333333333333,4,0.833333333333333,"Cloudy","0"
"rota","wedding cake trail",250,"disturbed",NA,0,2013-07-17,"0.47222222222222227",5.43333333333333,5,0.433333333333333,"Sunny","NA"
"rota","bird sanctuary farm road",300,"disturbed",NA,0,2013-07-18,"0.4375",6.2,6,0.2,"Sunny","0-1"
"guam","twolovers",300,"disturbed","eunice",1,2013-07-22,"0.60763888888888895",6.01666666666667,6,0.0166666666666667,"Sunny","1"
"guam","twolovers",300,"disturbed","polytes",7,2013-07-22,"0.60763888888888895",6.01666666666667,6,0.0166666666666667,"Sunny","1"
"guam","twolovers",300,"disturbed","bolina",2,2013-07-22,"0.60763888888888895",6.01666666666667,6,0.0166666666666667,"Sunny","1"
"guam","gcc",300,"native","blanda",1,2013-06-23,"0.59236111111111112",10.4833333333333,10,0.483333333333333,"Sunny","0-1"
"guam","gcc",300,"native","polytes",2,2013-06-23,"0.59236111111111112",10.4833333333333,10,0.483333333333333,"Sunny","0-1"
"guam","pagat",300,"disturbed","eunice",2,2013-07-24,"0.40277777777777773",7.5,7,0.5,"Sunny","0-1"
"guam","pagat",300,"disturbed","blanda",11,2013-07-24,"0.40277777777777773",7.5,7,0.5,"Sunny","0-1"
"guam","pagat",300,"disturbed","anomola",4,2013-07-24,"0.40277777777777773",7.5,7,0.5,"Sunny","0-1"
"guam","anao_n",300,"native","blanda",2,2013-07-24,"0.4604166666666667",7.58333333333333,7,0.583333333333333,"Sunny","0-1"
"guam","anao_n",300,"native","polytes",3,2013-07-24,"0.4604166666666667",7.58333333333333,7,0.583333333333333,"Sunny","0-1"
"guam","sblas",300,"native","eunice",1,2013-07-24,"0.51041666666666663",9.68333333333333,9,0.683333333333333,"Sunny","0-1"
"guam","sblas",300,"native","polytes",1,2013-07-24,"0.51041666666666663",9.68333333333333,9,0.683333333333333,"Sunny","0-1"
"guam","marbo_d",300,"disturbed","eunice",7,2013-08-04,"0.44097222222222227",7.23333333333333,7,0.233333333333333,"Sunny","0-1"
"guam","marbo_d",300,"disturbed","blanda",3,2013-08-04,"0.44097222222222227",7.23333333333333,7,0.233333333333333,"Sunny","0-1"
"guam","marbo_d",300,"disturbed","polytes",24,2013-08-04,"0.44097222222222227",7.23333333333333,7,0.233333333333333,"Sunny","0-1"
"guam","marbo_d",300,"disturbed","anomola",4,2013-08-04,"0.44097222222222227",7.23333333333333,7,0.233333333333333,"Sunny","0-1"
"guam","marbo_n",250,"native","blanda",4,2013-08-05,"0.44027777777777777",11.45,11,0.45,"Sunny","0-1"
"guam","marbo_n",250,"native","polytes",9,2013-08-05,"0.44027777777777777",11.45,11,0.45,"Sunny","0-1"
"guam","marbo_n",250,"native","anomola",1,2013-08-05,"0.44027777777777777",11.45,11,0.45,"Sunny","0-1"
